Incomplete,Date,Sessions,% of Sessions
,06/12/2013 0:00,7638, <0.1% 
,05/12/2013 0:00,4084, <0.1% 
,04/12/2013 0:00,2888, <0.1% 
,03/12/2013 0:00,289, <0.1% 
,02/12/2013 0:00,4, <0.1% 
,01/12/2013 0:00,0,0.00%
,30/11/2013 0:00,0,0.00%
,29/11/2013 0:00,0,0.00%
,28/11/2013 0:00,0,0.00%
,27/11/2013 0:00,0,0.00%
,26/11/2013 0:00,0,0.00%
,25/11/2013 0:00,0,0.00%
,24/11/2013 0:00,0,0.00%
,23/11/2013 0:00,0,0.00%
,22/11/2013 0:00,0,0.00%
,21/11/2013 0:00,0,0.00%
,20/11/2013 0:00,0,0.00%
,19/11/2013 0:00,0,0.00%
,18/11/2013 0:00,0,0.00%
,17/11/2013 0:00,0,0.00%
,16/11/2013 0:00,0,0.00%
